step,train_loss,val_loss,flops,tokens
0,11.0082,11.0094,0.0,0
1000,5.1492,5.1573,1.8167e+18,393216000
2000,4.0155,4.0134,3.6333e+18,786432000
3000,3.5918,3.5844,5.45e+18,1179648000
4000,3.3707,3.4005,7.2666e+18,1572864000
5000,3.2699,3.2917,9.0833e+18,1966080000
6000,3.2032,3.2156,1.09e+19,2359296000
7000,3.1412,3.1607,1.2717e+19,2752512000
8000,3.1086,3.1148,1.4533e+19,3145728000
9000,3.0569,3.0792,1.635e+19,3538944000
10000,3.0443,3.0479,1.8167e+19,3932160000
11000,3.0034,3.0207,1.9983e+19,4325376000
12000,2.9748,2.9967,2.18e+19,4718592000
13000,2.9737,2.9766,2.3617e+19,5111808000
14000,2.9469,2.9589,2.5433e+19,5505024000
15000,2.9318,2.9441,2.725e+19,5898240000
16000,2.8909,2.9282,2.9067e+19,6291456000
17000,2.9027,2.9144,3.0883e+19,6684672000
18000,2.8888,2.9019,3.27e+19,7077888000
19000,2.8694,2.8917,3.4517e+19,7471104000
20000,2.8616,2.8808,3.6333e+19,7864320000
21000,2.8355,2.8696,3.815e+19,8257536000
22000,2.827,2.8599,3.9966e+19,8650752000
