step,train_loss,val_loss,flops,tokens
0,10.9779,10.9802,0.0,0
1000,5.0113,5.018,8.3755e+17,393216000
2000,3.9658,3.9619,1.6751e+18,786432000
3000,3.5963,3.5943,2.5127e+18,1179648000
4000,3.4064,3.4311,3.3502e+18,1572864000
5000,3.3132,3.3326,4.1878e+18,1966080000
6000,3.2524,3.2613,5.0253e+18,2359296000
7000,3.1949,3.211,5.8629e+18,2752512000
8000,3.166,3.1693,6.7004e+18,3145728000
9000,3.1138,3.1356,7.538e+18,3538944000
10000,3.11,3.1093,8.3755e+18,3932160000
11000,3.0711,3.0842,9.2131e+18,4325376000
12000,3.0461,3.0643,1.0051e+19,4718592000
13000,3.0467,3.0468,1.0888e+19,5111808000
14000,3.0236,3.031,1.1726e+19,5505024000
15000,3.0111,3.0159,1.2563e+19,5898240000
16000,2.9728,3.003,1.3401e+19,6291456000
17000,2.9845,2.9898,1.4238e+19,6684672000
18000,2.974,2.9804,1.5076e+19,7077888000
19000,2.956,2.9694,1.5913e+19,7471104000
20000,2.9503,2.9606,1.6751e+19,7864320000
21000,2.9246,2.951,1.7589e+19,8257536000
22000,2.9185,2.9431,1.8426e+19,8650752000
23000,2.9205,2.934,1.9264e+19,9043968000
24000,2.9211,2.9282,2.0101e+19,9437184000
25000,2.9259,2.9211,2.0939e+19,9830400000
26000,2.9072,2.9142,2.1776e+19,10223616000
27000,2.8915,2.9083,2.2614e+19,10616832000
28000,2.8734,2.9026,2.3451e+19,11010048000
29000,2.8706,2.896,2.4289e+19,11403264000
30000,2.8636,2.8915,2.5127e+19,11796480000
31000,2.8726,2.8847,2.5964e+19,12189696000
32000,2.8432,2.882,2.6802e+19,12582912000
33000,2.832,2.8763,2.7639e+19,12976128000
34000,2.8574,2.8724,2.8477e+19,13369344000
35000,2.8473,2.867,2.9314e+19,13762560000
36000,2.8391,2.8635,3.0152e+19,14155776000
37000,2.8476,2.8581,3.0989e+19,14548992000
38000,2.8322,2.8551,3.1827e+19,14942208000
39000,2.81,2.851,3.2664e+19,15335424000
40000,2.8261,2.8455,3.3502e+19,15728640000
41000,2.82,2.8414,3.434e+19,16121856000
42000,2.7988,2.8391,3.5177e+19,16515072000
43000,2.8214,2.8346,3.6015e+19,16908288000
44000,2.7988,2.831,3.6852e+19,17301504000
45000,2.8105,2.8275,3.769e+19,17694720000
46000,2.7823,2.8237,3.8527e+19,18087936000
47000,2.7961,2.8197,3.9365e+19,18481152000
