step,baseline,loop-gpt_k4,loop-gpt_k2
0,10.9765,10.9896,10.9912
1000,5.0142,5.0772,5.0742
2000,3.9584,3.9859,3.9778
3000,3.5817,3.5835,3.5871
4000,3.4293,3.415,3.4223
5000,3.3036,3.2807,3.2879
6000,3.2405,3.2165,3.2212
7000,3.2164,3.1884,3.1942
8000,3.1534,3.1197,3.1285
9000,3.1376,3.102,3.1113
10000,3.1087,3.0708,3.0815
11000,3.0868,3.0461,3.0603
12000,3.0628,3.0229,3.0359
13000,3.0507,3.0082,3.0221
14000,3.0468,3.0034,3.0184
15000,3.0012,2.9564,2.971
16000,3.0152,2.9686,2.9872
17000,2.9807,2.9322,2.953
18000,2.9747,2.9299,2.9478
19000,2.9787,2.9292,2.9486
20000,2.9746,2.9264,2.9461
21000,2.9533,2.9018,2.9213
22000,2.9532,2.9027,2.9234
23000,2.9396,2.8906,2.9101
24000,2.9216,2.8697,2.8927
25000,2.9264,2.8752,2.897
26000,2.9066,2.8523,2.8742
27000,2.9147,2.8628,2.8848
28000,2.8972,2.8444,2.8668
29000,2.8963,2.8448,2.8677
30000,2.8799,2.8258,2.8497
31000,2.8718,2.8185,2.8427
32000,2.8617,2.8067,2.8309
33000,2.8661,2.811,2.835
34000,2.8821,2.8266,2.8521
35000,2.8773,2.8221,2.8462
36000,2.8612,2.8059,2.8307
37000,2.8861,2.8294,2.8549
38000,2.8598,2.803,2.828
39000,2.8556,2.7991,2.8238
40000,2.8527,2.7971,2.8209
41000,2.8339,2.7781,2.8028
42000,2.8427,2.7848,2.8117
43000,2.8319,2.7757,2.8005
44000,2.8402,2.784,2.8094
45000,2.8248,2.7673,2.7929
46000,2.818,2.7591,2.7871
